A1BG	66	3	9	67	18	109
A1BG-AS1	439	14	46	436	136	654
A1CF	50	2	27	14	65
A2M	?	?	?	?	?	18
A2M-AS1	56	2	21	3	20
A2ML1	358	11	39	520	156	785
A4GALT	273	2	24	177	70	376
A4GNT	?	?	?	4	2	6
AAAS	3039	95	299	2377	754	3678
AACS	2329	74	296	1969	660	3230
AADAC	7	2	13	2	23
AADACL2	?	?	?	?	?	7
AADACL3	?	?	?	?	?	10
AADAT	414	13	63	461	174	726
AAED1	1128	57	149	1198	407	1880
AAGAB	4926	114	435	5326	1759	6850
AAK1	14378	469	1598	13223	4099	18223
AAMDC	515	12	44	326	97	469
AAMP	4122	140	513	3597	1237	6030
AANAT	?	?	?	21	2	24
AAR2	2638	68	256	2842	896	4397
AARD	692	21	115	801	262	1246
AARS	18466	661	2186	15690	4717	22830
AARS2	3979	172	510	3467	1064	5654
AARSD1	1367	31	145	1446	458	1994
AASDH	2194	47	247	1616	505	2293
AASDHPPT	5032	135	501	4239	1372	6310
AASS	14171	411	1400	7733	2522	11598
AATF	3695	123	366	5021	1514	6162
AATK	43	5	26	4	62
ABAT	1048	32	92	293	92	449
ABCA1	8215	195	656	17670	5719	23951
ABCA10	88	1	15	107	31	121
ABCA11P	621	15	81	804	260	1175
ABCA12	129	13	123	42	220
ABCA13	443	15	62	547	171	1036
ABCA17P	31	2	4	31	8	47
ABCA2	1489	79	244	657	207	1312
ABCA3	1326	42	183	414	159	707
ABCA4	?	?	?	8	2	26
ABCA5	4868	138	450	4212	1361	6041
ABCA7	412	8	64	174	56	357
ABCA8	3	3	19	3	28
ABCA9	810	35	114	881	376	1192
ABCB1	58	9	28	3	36
ABCB10	2530	60	273	1787	557	2482
ABCB11	?	?	?	?	?	2
ABCB4	?	?	?	6	1	6
ABCB5	1537	56	204	2119	739	3164
ABCB6	1932	82	228	1126	406	1874
ABCB7	2272	61	251	2140	735	3280
ABCB8	806	31	139	435	110	809
ABCB9	535	24	99	473	122	679
ABCC1	7091	269	912	5386	1651	8264
ABCC10	1855	63	272	1346	480	2409
ABCC11	?	?	?	?	?	8
ABCC12	?	?	?	2	4	1
ABCC13	204	8	29	203	47	376
ABCC2	231	12	221	62	291
ABCC3	303	8	51	611	238	884
ABCC4	8767	243	874	4743	1566	6459
ABCC5	5403	131	509	5235	1870	8155
ABCC5-AS1	289	9	10	240	130	347
ABCC6	319	16	40	231	70	331
ABCC6P1	80	3	6	62	31	122
ABCC6P2	70	5	8	52	10	79
ABCC8	50	3	6	11	5	27
ABCC9	61481	1852	6622	72537	21889	78909
ABCD1	289	8	41	261	89	514
ABCD2	?	?	?	?	?	2
ABCD3	8193	250	741	6762	2295	10058
ABCD4	2755	71	329	2110	650	3432
ABCE1	16881	402	1640	19198	6071	26384
ABCF1	10713	372	1216	11094	3415	16209
ABCF2	6853	198	740	7952	2450	11486
ABCF3	2289	44	308	2737	813	4388
ABCG1	66	1	4	18	13	50
ABCG2	2951	76	303	1958	622	2619
ABCG4	142	2	21	52	27	108
ABCG5	?	?	?	4	5	9
ABCG8	?	?	?	6	2	7
ABHD1	202	21	158	59	223
ABHD10	2182	63	222	2187	820	3074
ABHD11	1261	68	196	1707	454	2395
ABHD12	5982	196	696	4326	1398	7508
ABHD12B	165	1	24	139	47	208
ABHD13	1734	49	143	1698	487	2730
ABHD14A	216	8	17	126	35	277
ABHD14A-ACY1	737	36	117	464	132	908
ABHD14B	1085	44	140	651	191	1036
ABHD15	2242	74	308	1781	676	2969
ABHD16A	2800	67	319	1804	629	3233
ABHD16B	104	5	22	84	41	170
ABHD2	12974	357	1270	7774	2510	10758
ABHD3	2801	70	259	2202	805	3361
ABHD4	2827	98	344	2893	879	4253
ABHD5	1854	63	171	2782	966	3839
ABHD6	1115	29	100	617	169	882
ABHD8	171	13	37	142	36	234
ABI1	4373	102	437	3750	1269	5416
ABI2	8192	262	907	7773	2593	10794
ABI3	10	4	6	4	17
ABI3BP	2739	58	229	3218	1049	4357
ABL1	4061	101	510	4767	1406	7337
ABL2	18615	491	2033	26354	8160	36438
ABLIM1	3182	78	355	2401	765	3460
ABLIM2	?	?	?	4	1	8
ABLIM3	2965	78	254	3540	1153	5226
